file,price,beds,baths,sqft,yearbuilt,zip,zestimate
boston_forsale_02128.csv,420000,3,3,1590,1910,2128,370023
boston_forsale_02116.csv,425000,1,1,600,1873,2116,416102
boston_forsale_02127.csv,425000,2,2,1131,1910,2127,424937
boston_forsale_02128.csv,425000,3,1.5,2024,1900,2128,259615
boston_forsale_02115.csv,429000,2,1,892,1900,2115,433579
boston_forsale_02116.csv,429000,1,1,772,1900,2116,0
boston_forsale_02118.csv,429000,1,1,661,1945,2118,358500
boston_forsale_02122.csv,429000,3,3,2100,2013,2122,421040
boston_forsale_02127.csv,429000,2,1.5,1228,1890,2127,415299
boston_forsale_02127.csv,429000,2,2,760,1900,2127,369526
boston_forsale_02127.csv,429000,3,2,1195,1893,2127,439879
boston_forsale_02127.csv,429000,3,2,1195,1893,2127,445546
boston_forsale_02127.csv,429000,3,2,1196,2004,2127,463080
boston_forsale_02127.csv,429900,2,1,843,2009,2127,350243
boston_forsale_02118.csv,435000,1,1,560,1899,2118,394909
boston_forsale_02115.csv,437000,1,1,635,1920,2115,0
boston_forsale_02109.csv,439000,1,1,680,1899,2109,0
boston_forsale_02113.csv,439000,2,1,715,1900,2113,374568
boston_forsale_02116.csv,439000,1,1,596,1872,2116,0
boston_forsale_02116.csv,439000,1,1,610,1910,2116,388837
boston_forsale_02125.csv,439000,3,2.5,1862,1910,2125,401638
boston_forsale_02127.csv,439000,2,2,800,1910,2127,367965
boston_forsale_02127.csv,439000,2,2,1542,2003,2127,424330
boston_forsale_02127.csv,439000,2,2,1195,1910,2127,415701
boston_forsale_02122.csv,439900,9,3,3639,1905,2122,399291
boston_forsale_02128.csv,439900,6,4,2196,1900,2128,0
boston_forsale_02215.csv,439900,1,1,725,1910,2215,418632
boston_forsale_02114.csv,440000,2,1,605,1899,2114,373467
boston_forsale_02127.csv,440000,2,2,1000,2006,2127,0
boston_forsale_02114.csv,449000,1,1,833,1964,2114,414457
boston_forsale_02118.csv,449000,1,1,750,1900,2118,385498
boston_forsale_02118.csv,449000,1,1,770,1899,2118,403650
boston_forsale_02122.csv,449000,3,3,2100,2013,2122,421040
boston_forsale_02126.csv,449000,9,3,4020,1905,2126,0
boston_forsale_02127.csv,449000,2,1,900,1905,2127,378263
boston_forsale_02127.csv,449000,2,2,991,1910,2127,395383
boston_forsale_02127.csv,449000,1,1,782,1906,2127,0
boston_forsale_02215.csv,449000,1,1,875,1910,2215,0
boston_forsale_02111.csv,449900,1,1.5,884,1900,2111,478072
boston_forsale_02122.csv,449900,9,3,3231,1905,2122,448802
boston_forsale_02127.csv,449900,1,1,1008,1899,2127,399833
boston_forsale_02127.csv,450000,3,1.5,1219,1930,2127,401007
boston_forsale_02128.csv,450000,3,1.5,1594,1847,2128,377149
boston_forsale_02125.csv,452000,6,3,3132,1920,2125,344843
boston_forsale_02118.csv,459000,1,1,1018,1899,2118,365062
boston_forsale_02119.csv,459000,11,3,3000,1905,2119,359692
boston_forsale_02127.csv,459000,2,1.5,1109,2005,2127,420894
boston_forsale_02127.csv,459000,3,2,1132,1935,2127,421856
boston_forsale_02111.csv,465000,1,1,769,1899,2111,490858
boston_forsale_02122.csv,465000,4,2,1994,1924,2122,378168
boston_forsale_02113.csv,469000,1,1,1000,1870,2113,469461
boston_forsale_02113.csv,469000,2,1,650,0,2113,421069
boston_forsale_02125.csv,469000,11,3,3678,1905,2125,418010
boston_forsale_02116.csv,469900,1,1,563,1910,2116,413260
boston_forsale_02111.csv,470000,1,1,801,2001,2111,531208
boston_forsale_02116.csv,475000,2,1,626,1910,2116,0
boston_forsale_02119.csv,475000,3,2.5,2100,2005,2119,322892
boston_forsale_02125.csv,475000,10,3.5,5398,1900,2125,472122
boston_forsale_02127.csv,475000,3,1,1079,1900,2127,400178
boston_forsale_02215.csv,475000,2,1,730,0,2215,0
boston_forsale_02113.csv,479000,1,1,695,1910,2113,0
boston_forsale_02114.csv,479000,2,1,530,1920,2114,398739
boston_forsale_02118.csv,479000,1,1,733,2006,2118,443860
boston_forsale_02119.csv,479000,4,3,1981,1905,2119,382035
boston_forsale_02124.csv,479000,9,3,4107,0,2124,453863
boston_forsale_02125.csv,479000,6,3,3405,1905,2125,412241
boston_forsale_02118.csv,480000,2,1,759,1899,2118,431423
boston_forsale_02128.csv,480000,2,2,1248,1899,2128,338191
boston_forsale_02210.csv,484000,1,1,683,1899,2210,430876
boston_forsale_02127.csv,485000,3,2,1875,1995,2127,419230
boston_forsale_02113.csv,488000,2,1,715,0,2113,454281
boston_forsale_02113.csv,489000,1,1,715,1910,2113,421832
boston_forsale_02119.csv,489000,6,2,3000,1910,2119,292471
boston_forsale_02128.csv,489000,8,4,2757,1885,2128,0
boston_forsale_02122.csv,495000,4,2,2242,1910,2122,431038
boston_forsale_02127.csv,495000,2,1,1115,1890,2127,412185
boston_forsale_02215.csv,495000,2,1,705,1924,2215,0
boston_forsale_02110.csv,496000,1,1,882,1970,2110,504400
boston_forsale_02116.csv,498000,1,1,585,1890,2116,473407
boston_forsale_02116.csv,499000,1,1,670,1890,2116,455168
boston_forsale_02116.csv,499000,1,1,585,1860,2116,444094
boston_forsale_02118.csv,499000,2,1,866,1899,2118,444842
boston_forsale_02118.csv,499000,1,1,1000,0,2118,792079
boston_forsale_02122.csv,499000,3,3,2707,1899,2122,0
boston_forsale_02127.csv,499000,2,2,1020,2004,2127,0
boston_forsale_02127.csv,499000,2,1,1016,1905,2127,353188
boston_forsale_02127.csv,499000,2,2,1220,2003,2127,497061
boston_forsale_02127.csv,499000,4,2.5,1725,1880,2127,477889
boston_forsale_02215.csv,499000,1,1,898,1910,2215,365550
boston_forsale_02113.csv,499500,2,1,812,1870,2113,424284
boston_forsale_02122.csv,499900,6,3.5,3131,1905,2122,426614
boston_forsale_02127.csv,499900,3,2.5,1401,1873,2127,484091
boston_forsale_02111.csv,499999,1,1.5,966,2004,2111,538141
boston_forsale_02127.csv,499999,3,2,1564,1899,2127,0
boston_forsale_02128.csv,499999,4,3,1406,1959,2128,0
boston_forsale_02114.csv,500000,2,1,608,1930,2114,401482
boston_forsale_02125.csv,500000,9,3,4125,1905,2125,487929
boston_forsale_02127.csv,500000,2,2,1131,1905,2127,461763
boston_forsale_02128.csv,500000,8,3,3156,1910,2128,413755
boston_forsale_02114.csv,509000,2,1,700,1899,2114,467973
boston_forsale_02127.csv,509900,2,2,1077,1900,2127,451060
boston_forsale_02127.csv,510000,3,2.5,960,1890,2127,449877
boston_forsale_02116.csv,519000,1,1,433,1999,2116,418073
boston_forsale_02127.csv,519000,2,2,1288,1930,2127,480268
boston_forsale_02127.csv,519000,3,1,1194,1905,2127,425213
boston_forsale_02127.csv,519000,2,2,1621,1910,2127,491824
boston_forsale_02215.csv,519000,1,1,663,2006,2215,369149
boston_forsale_02111.csv,525000,1,1.5,1059,2004,2111,564852
boston_forsale_02121.csv,525000,7,3.5,2905,1895,2121,485908
boston_forsale_02127.csv,525000,2,2,1126,1905,2127,463390
boston_forsale_02127.csv,525000,3,2.5,1734,2001,2127,524602
boston_forsale_02127.csv,525000,2,2.5,1150,1890,2127,578011
boston_forsale_02128.csv,525000,2,2.5,1584,1880,2128,324273
boston_forsale_02119.csv,525900,4,3.5,3000,1860,2119,398654
boston_forsale_02110.csv,529000,1,1,864,2005,2110,521099
boston_forsale_02111.csv,529000,1,1,1255,1897,2111,549993
boston_forsale_02127.csv,529000,2,2,1260,1920,2127,451864
boston_forsale_02128.csv,529000,5,5,3183,2005,2128,0
boston_forsale_02118.csv,529900,2,1,1045,1912,2118,529403
boston_forsale_02128.csv,529900,11,3,3231,1915,2128,420718
boston_forsale_02115.csv,534976,2,1,1000,0,2115,500617
boston_forsale_02111.csv,535000,1,2,1119,1900,2111,559540
boston_forsale_02115.csv,535000,2,1,610,0,2115,457494
boston_forsale_02119.csv,535000,3,2,1480,2012,2119,443389
boston_forsale_02119.csv,535000,3,2,1480,2012,2119,443389
boston_forsale_02121.csv,535000,11,5.5,5028,1905,2121,526761
boston_forsale_02110.csv,539000,1,1,874,1970,2110,509347
boston_forsale_02116.csv,539000,1,1,709,1885,2116,504231
boston_forsale_02128.csv,539000,4,5.5,3528,1930,2128,510111
boston_forsale_02113.csv,540000,2,1,855,1900,2113,440870
boston_forsale_02108.csv,545000,1,1,806,1890,2108,0
boston_forsale_02118.csv,545000,1,1,740,1890,2118,468314
boston_forsale_02118.csv,546000,2,1,792,1920,2118,0
boston_forsale_02113.csv,549000,2,1,722,1900,2113,438296
boston_forsale_02114.csv,549000,1,1,750,1900,2114,0
boston_forsale_02114.csv,549000,1,1,690,1850,2114,403353
boston_forsale_02116.csv,549000,1,1,700,1890,2116,0
boston_forsale_02118.csv,549000,2,1,896,2002,2118,712952
boston_forsale_02118.csv,549000,2,1.5,907,1900,2118,520060
boston_forsale_02118.csv,549000,1,1,950,1900,2118,0
boston_forsale_02127.csv,549000,2,2,1650,2006,2127,0
boston_forsale_02127.csv,549000,2,2,1650,2006,2127,0
boston_forsale_02128.csv,549000,4,4,2205,1900,2128,445201
boston_forsale_02113.csv,549500,2,1,840,1900,2113,492012
boston_forsale_02124.csv,549999,2,2,1441,1900,2124,0
boston_forsale_02109.csv,550000,1,1.5,1082,1900,2109,532072
boston_forsale_02109.csv,550000,1,1,965,1853,2109,588797
boston_forsale_02114.csv,550000,1,1,605,0,2114,412704
boston_forsale_02127.csv,550000,3,2,1119,1920,2127,447139
boston_forsale_02127.csv,550000,1,2,1100,1900,2127,440218
boston_forsale_02210.csv,550000,1,1,1005,1900,2210,516625
boston_forsale_02118.csv,559000,2,1,1078,1890,2118,490046
boston_forsale_02122.csv,559000,4,2,2638,1926,2122,450863
boston_forsale_02127.csv,559000,2,2,1348,2005,2127,520567
boston_forsale_02215.csv,559000,1,1,673,1897,2215,0
boston_forsale_02127.csv,559900,99,0,1300,1890,2127,567098
boston_forsale_02110.csv,565000,1,1,746,1970,2110,510277
boston_forsale_02111.csv,565000,1,2,1119,1900,2111,547204
boston_forsale_02127.csv,569000,2,2.5,1742,1998,2127,605812
boston_forsale_02127.csv,569000,2,2,1154,2013,2127,510032
boston_forsale_02127.csv,569000,3,2,1000,0,2127,482904
boston_forsale_02110.csv,569900,1,1,836,2006,2110,525517
boston_forsale_02127.csv,570000,2,1,1382,1899,2127,513638
boston_forsale_02109.csv,575000,2,1,827,1935,2109,500682
boston_forsale_02109.csv,575000,1,1,867,1850,2109,456084
boston_forsale_02110.csv,575000,1,1,881,1970,2110,559894
boston_forsale_02115.csv,575000,1,1.5,1013,1886,2115,0
boston_forsale_02118.csv,575000,2,2,1140,1900,2118,593338
boston_forsale_02124.csv,575000,6,3.5,3396,1920,2124,414112
boston_forsale_02127.csv,575000,2,2,1170,1900,2127,553442
boston_forsale_02215.csv,575000,1,1,745,1897,2215,0
boston_forsale_02114.csv,579000,2,2,860,1900,2114,590628
boston_forsale_02115.csv,579000,2,1,967,1910,2115,436667
boston_forsale_02127.csv,579000,2,2,1301,2006,2127,431172
boston_forsale_02127.csv,579000,2,2,1269,2013,2127,554896
boston_forsale_02127.csv,579000,3,2,1645,2001,2127,529127
boston_forsale_02210.csv,579000,1,1.5,924,2004,2210,578097
boston_forsale_02127.csv,585000,2,2,1269,2013,2127,0
boston_forsale_02215.csv,588800,2,1,1134,1910,2215,530969
boston_forsale_02119.csv,589000,8,3,4407,1905,2119,426609
boston_forsale_02121.csv,589000,11,5,4550,1905,2121,576465
boston_forsale_02121.csv,589000,11,5,4541,1905,2121,558823
boston_forsale_02127.csv,590000,2,2,902,2003,2127,407863
boston_forsale_02114.csv,595000,2,2,1035,1899,2114,0
boston_forsale_02109.csv,599000,1,1.5,855,1856,2109,527015
boston_forsale_02110.csv,599000,1,1,825,1830,2110,614732
boston_forsale_02111.csv,599000,1,2,1085,2001,2111,626653
boston_forsale_02113.csv,599000,1,1,913,1899,2113,559212
boston_forsale_02115.csv,599000,2,1,784,1890,2115,0
boston_forsale_02118.csv,599000,1,2,1012,1858,2118,600807
boston_forsale_02118.csv,599000,3,1,1073,1910,2118,0
boston_forsale_02127.csv,599000,3,2.5,1850,2008,2127,543315
boston_forsale_02127.csv,599000,2,2,1269,2013,2127,537984
boston_forsale_02127.csv,599000,2,2,1239,2013,2127,538457
boston_forsale_02127.csv,599000,2,1.5,1216,1995,2127,477714
boston_forsale_02127.csv,599000,2,2,1143,2013,2127,605152
boston_forsale_02127.csv,599000,2,2,1306,2013,2127,559038
boston_forsale_02215.csv,599000,2,1,883,1910,2215,601665
boston_forsale_02127.csv,599900,2,2,1323,1900,2127,553330
boston_forsale_02215.csv,599900,2,1,902,2005,2215,510647
boston_forsale_02111.csv,600000,3,2,1400,1900,2111,0
boston_forsale_02111.csv,600000,1,1,1091,1897,2111,518092
boston_forsale_02116.csv,600000,2,1,856,1890,2116,0
boston_forsale_02116.csv,600000,2,1,612,1905,2116,440110
boston_forsale_02118.csv,600000,1,1,744,1890,2118,466588
boston_forsale_02121.csv,600000,8,4,4613,1900,2121,609098
boston_forsale_02122.csv,600000,10,4,3217,1900,2122,390988
boston_forsale_02125.csv,600000,6,3,3125,1880,2125,479028
boston_forsale_02125.csv,600000,4,2.5,1761,1930,2125,323017
boston_forsale_02127.csv,600000,2,2.5,1482,1880,2127,539583
boston_forsale_02127.csv,600000,2,2,880,2011,2127,432233
boston_forsale_02110.csv,609000,1,1,825,1973,2110,0
boston_forsale_02127.csv,610000,2,2,1270,2013,2127,538392
boston_forsale_02110.csv,615000,1,1,825,1850,2110,607052
boston_forsale_02115.csv,615000,2,0,950,1880,2115,0
boston_forsale_02122.csv,615000,6,3,3534,1905,2122,439296
boston_forsale_02114.csv,619000,1,1,987,2003,2114,603045
boston_forsale_02116.csv,619000,1,1.5,733,1890,2116,551127
boston_forsale_02118.csv,619000,2,2,1043,2001,2118,0
boston_forsale_02127.csv,619000,2,2,1293,2003,2127,571733
boston_forsale_02125.csv,620000,3,2.5,2322,2002,2125,531306
boston_forsale_02115.csv,624000,2,1,743,1890,2115,525464
boston_forsale_02114.csv,625000,2,1,720,1935,2114,486617
boston_forsale_02116.csv,625000,2,1,825,1865,2116,577600
boston_forsale_02119.csv,625000,4,2,3246,1905,2119,308400
boston_forsale_02127.csv,625000,2,2.5,1205,2011,2127,558717
boston_forsale_02127.csv,625000,2,1.5,1548,1900,2127,561454
boston_forsale_02127.csv,625000,2,2,1473,2004,2127,541716
boston_forsale_02111.csv,629000,2,2,1026,2003,2111,573592
boston_forsale_02116.csv,629000,1,1,833,1927,2116,0
boston_forsale_02116.csv,629000,1,1,845,1859,2116,548630
boston_forsale_02118.csv,629000,2,1,814,1890,2118,0
boston_forsale_02118.csv,629000,2,1,1083,2006,2118,0
boston_forsale_02127.csv,629000,2,2,1306,2013,2127,539917
boston_forsale_02111.csv,630000,2,0,1027,2004,2111,0
boston_forsale_02110.csv,637500,2,2,1112,1899,2110,583177
boston_forsale_02110.csv,637500,2,2,1112,1900,2110,909515
boston_forsale_02118.csv,639000,2,1,700,1875,2118,495658
boston_forsale_02124.csv,639000,3,2.5,2184,1900,2124,0
boston_forsale_02127.csv,639000,2,2.5,1350,2013,2127,595650
boston_forsale_02127.csv,639000,2,2,1360,2013,2127,553083
boston_forsale_02127.csv,639900,2,2.5,1205,2011,2127,559586
boston_forsale_02210.csv,639900,1,1,1153,1911,2210,529170
boston_forsale_02116.csv,649000,1,1,688,1869,2116,520592
boston_forsale_02127.csv,649000,2,1.5,1695,1988,2127,452020
boston_forsale_02127.csv,649000,2,2,1263,1906,2127,486390
boston_forsale_02127.csv,649000,2,2,1540,2013,2127,598043
boston_forsale_02127.csv,649000,2,2,1370,2006,2127,643875
boston_forsale_02215.csv,649000,1,1,813,1895,2215,497574
boston_forsale_02108.csv,650000,2,2,803,1850,2108,577604
boston_forsale_02126.csv,650000,12,6,5802,1910,2126,0
boston_forsale_02127.csv,650000,6,6,2100,1890,2127,664567
boston_forsale_02116.csv,659000,1,1,725,2004,2116,567531
boston_forsale_02125.csv,659000,5,4,4212,1910,2125,616739
boston_forsale_02210.csv,659000,1,1.5,1229,2004,2210,583058
boston_forsale_02119.csv,660000,11,6,5578,1900,2119,628895
boston_forsale_02109.csv,665000,2,1,1050,1900,2109,543980
boston_forsale_02127.csv,665000,1,1,1087,2007,2127,589872
boston_forsale_02114.csv,675000,1,1,619,1890,2114,442853
boston_forsale_02127.csv,675000,2,2,1200,2009,2127,498873
boston_forsale_02110.csv,679000,2,1.5,1229,1970,2110,708782
boston_forsale_02116.csv,679000,2,1,741,1880,2116,534038
boston_forsale_02111.csv,685000,1,2,1368,1920,2111,653769
boston_forsale_02127.csv,689000,2,3,2000,1905,2127,664037
boston_forsale_02110.csv,690000,2,2,1230,1970,2110,657362
boston_forsale_02127.csv,690000,4,3.5,2304,1890,2127,643401
boston_forsale_02116.csv,695000,1,1,879,1899,2116,630597
boston_forsale_02118.csv,695000,2,1,1057,1857,2118,801294
boston_forsale_02126.csv,695000,12,6,5604,1920,2126,629679
boston_forsale_02109.csv,699000,2,1,802,1860,2109,550644
boston_forsale_02115.csv,699000,2,1,840,1899,2115,0
boston_forsale_02116.csv,699000,1,2,1435,1890,2116,0
boston_forsale_02118.csv,699000,1,1,1286,2004,2118,679255
boston_forsale_02109.csv,700000,2,2,1187,1987,2109,678120
boston_forsale_02118.csv,700000,2,1,1151,1900,2118,674417
boston_forsale_02125.csv,700000,7,3.5,2742,1880,2125,400012
boston_forsale_02115.csv,710000,2,1.5,1126,1889,2115,668660
boston_forsale_02115.csv,715000,2,2,1152,1899,2115,0
boston_forsale_02127.csv,715000,3,3,2125,1890,2127,517221
boston_forsale_02116.csv,719000,2,1.5,1107,1996,2116,728831
boston_forsale_02110.csv,720000,2,1.5,1211,1972,2110,0
boston_forsale_02215.csv,721000,2,2,1033,2005,2215,664255
boston_forsale_02113.csv,724900,1,1,796,2005,2113,0
boston_forsale_02118.csv,725000,2,1.5,1106,1890,2118,621370
boston_forsale_02127.csv,725000,2,2,1143,2013,2127,628701
boston_forsale_02127.csv,725000,2,2,1143,2013,2127,628701
boston_forsale_02118.csv,726324,2,2,1216,2004,2118,726324
boston_forsale_02115.csv,728888,1,1,851,1918,2115,653804
boston_forsale_02127.csv,729000,3,3,2100,2013,2127,664756
boston_forsale_02118.csv,735000,2,2,975,1935,2118,0
boston_forsale_02113.csv,739000,2,2,1160,1920,2113,609867
boston_forsale_02127.csv,739000,2,2,1591,2012,2127,651537
boston_forsale_02127.csv,740000,2,2,1334,1945,2127,645202
boston_forsale_02127.csv,745000,2,2,1416,2013,2127,668134
boston_forsale_02110.csv,749000,2,1.5,1215,1972,2110,670200
boston_forsale_02114.csv,749000,2,2,990,1930,2114,0
boston_forsale_02116.csv,749000,1,1,864,2008,2116,655745
boston_forsale_02118.csv,749000,2,2,1109,2000,2118,0
boston_forsale_02125.csv,749000,5,2.5,2059,1910,2125,521232
boston_forsale_02127.csv,749000,2,3,2100,2013,2127,681729
boston_forsale_02111.csv,750000,2,2,1368,1900,2111,618663
boston_forsale_02113.csv,750000,1,1.5,912,1903,2113,0
boston_forsale_02118.csv,750000,2,1.5,917,2006,2118,628635
boston_forsale_02127.csv,750000,3,3.5,1980,1880,2127,633971
boston_forsale_02127.csv,750000,10,3,3394,1900,2127,607535
boston_forsale_02215.csv,769000,2,2,1076,1920,2215,722478
boston_forsale_02215.csv,769000,2,2,1076,1910,2215,673276
boston_forsale_02118.csv,769900,2,1.5,1380,1860,2118,541806
boston_forsale_02118.csv,774000,2,2.5,1490,1900,2118,710981
boston_forsale_02127.csv,775000,3,2.5,2241,2006,2127,717910
boston_forsale_02215.csv,775000,2,2,1285,1910,2215,782417
boston_forsale_02215.csv,775000,2,2,1285,1910,2215,776123
boston_forsale_02121.csv,778000,10,5,5930,1920,2121,719931
boston_forsale_02118.csv,785000,2,2,1326,1890,2118,765639
boston_forsale_02111.csv,795000,2,2,1496,1913,2111,714894
boston_forsale_02116.csv,795000,2,1.5,1106,1910,2116,778165
boston_forsale_02110.csv,799000,2,2,1218,1972,2110,734868
boston_forsale_02110.csv,799000,2,2,1226,1970,2110,709464
boston_forsale_02111.csv,799000,2,2,1424,2003,2111,832585
boston_forsale_02115.csv,799000,1,1,870,1890,2115,676317
boston_forsale_02118.csv,799000,2,3,2316,1855,2118,837815
boston_forsale_02122.csv,799000,6,3.5,5076,1892,2122,681495
boston_forsale_02127.csv,799000,4,2.5,2025,1890,2127,650481
boston_forsale_02108.csv,799995,2,1,778,1900,2108,591583
boston_forsale_02118.csv,799999,2,2,1574,1899,2118,820382
boston_forsale_02118.csv,800000,2,2,1254,1900,2118,700465
boston_forsale_02124.csv,800000,12,6,6579,1899,2124,692692
boston_forsale_02127.csv,800000,3,2,2100,1890,2127,722489
boston_forsale_02127.csv,800000,2,2,1260,2005,2127,492504
boston_forsale_02118.csv,815000,3,2,1330,1899,2118,749754
boston_forsale_02127.csv,815000,1,2.5,1539,1906,2127,791540
boston_forsale_02110.csv,824900,2,2,1168,2006,2110,747293
boston_forsale_02116.csv,825000,2,2,1010,1901,2116,0
boston_forsale_02116.csv,829000,1,2,944,2004,2116,0
boston_forsale_02116.csv,839000,2,2,1016,1901,2116,0
boston_forsale_02111.csv,849000,2,3,1343,2002,2111,865621
boston_forsale_02114.csv,849000,2,2.5,1630,1880,2114,853809
boston_forsale_02116.csv,849000,1,1,1142,1865,2116,0
