file,price,beds,baths,sqft,yearbuilt,zip,zestimate,zlink,address,dateofsale
boston_sold_02109.csv,637000,2,1.5,1162,1983,2109,615725,http://www.zillow.com/homedetails/376-Commercial-St-APT-4I-Boston-MA-02109/59178645_zpid/,"376 Commercial St, APT 4I, Boston, MA 02109",2/10/12
boston_sold_02109.csv,323000,2,1,606,1910,2109,338621,http://www.zillow.com/homedetails/25-Clark-St-APT-5-Boston-MA-02109/87793846_zpid/,"25 Clark St, APT 5, Boston, MA 02109",12/3/12
boston_sold_02109.csv,1,1,1.5,816,1900,2109,467127,http://www.zillow.com/homedetails/39-Salutation-St-APT-1A-Boston-MA-02109/59212035_zpid/,"39 Salutation St, APT 1A, Boston, MA 02109",1/27/12
boston_sold_02109.csv,300000,1,1,408,1900,2109,275959,http://www.zillow.com/homedetails/16-Foster-St-APT-7-Boston-MA-02109/59179093_zpid/,"16 Foster St, APT 7, Boston, MA 02109",1/27/12
boston_sold_02109.csv,1650000,3,2.5,1855,2006,2109,1469571,http://www.zillow.com/homedetails/50-Fleet-St-STE-301-Boston-MA-02109/81857192_zpid/,"50 Fleet St, STE 301, Boston, MA 02109",1/20/12
boston_sold_02109.csv,725000,1,2,1229,1899,2109,742625,http://www.zillow.com/homedetails/199-State-St-UNIT-601-Boston-MA-02109/81857356_zpid/,"199 State St, UNIT 601, Boston, MA 02109",1/14/12
boston_sold_02109.csv,1,1,1,539,1900,2109,363004,http://www.zillow.com/homedetails/300-Commercial-St-APT-209-Boston-MA-02109/59164455_zpid/,"300 Commercial St, APT 209, Boston, MA 02109",1/14/12
boston_sold_02109.csv,776000,1,1.5,932,2008,2109,725849,http://www.zillow.com/homedetails/2-5-Battery-Wharf-UNIT-2401-Boston-MA-02109/90136326_zpid/,"2-5 Battery Wharf, UNIT 2401, BOSTON, MA 02109",11/2/12
boston_sold_02109.csv,335000,1,1,792,1901,2109,350672,http://www.zillow.com/homedetails/357-Commercial-St-APT-212-Boston-MA-02109/59164030_zpid/,"357 Commercial St, APT 212, Boston, MA 02109",10/31/12
boston_sold_02109.csv,1225000,2,2,1562,1830,2109,1146117,http://www.zillow.com/homedetails/343-Commercial-St-UNIT-202-Boston-MA-02109/59173894_zpid/,"343 Commercial St, UNIT 202, Boston, MA 02109",10/22/12
